ID,Concept Name,Company,Confinement Family,MFE Topology,IFE Driver,MIF Method,Non-Standard Mechanism,Tokamak Shape,Stellarator Type,Laser Approach,Fuel,Primary Heating,Energy Capture,Plasma State,Magnet Type,Tritium Breeding,Neutron Management,Operation Mode,Repetition Rate,Driver Technology,Overall Confidence
01-hts-compact-tokamak,HTS Compact Tokamak,Commonwealth Fusion Systems,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),Thermal (steam),Burning,HTS (wound),FLiBe blanket,Integrated blanket/shield,Quasi-steady,N/A,"HTS magnets (REBCO, 20 T)",high
02-acoustic-icf-sonofusion,Acoustic ICF / Sonofusion (D-D),Sonofusion Energy,IFE,N/A,Acoustic,N/A,N/A,N/A,N/A,N/A,D-D,Acoustic implosion,TBD,Compressed,N/A,N/A,Heavy shielding (D-D),Pulsed,kHz,Ultrasonic transducers (acoustic cavitation),low
03-laser-icf-liquid-jet-target,Laser ICF - Liquid Jet Target (D-D),Cortex Fusion Systems,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Liquid jet,D-D,Laser (ultrashort pulse),TBD,Compressed,N/A,N/A,Heavy shielding (D-D),Pulsed,kHz,Femtosecond laser + plasmonic nanoshell targets,low
04-laser-icf,Laser ICF - p-B11 Fast Ignition,HB11 Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,p-B11,Laser (fast ignition),Thermal (steam),Compressed,N/A,N/A,Minimal (aneutronic),Pulsed,~1 Hz,Petawatt ps CPA laser + laser-driven kT field,medium
05-planar-coil-stellarator,Planar Coil Stellarator,Thea Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Planar coil,N/A,D-T,RF (ECRH),Thermal (steam),Burning,HTS (planar array),LiPb blanket,Integrated blanket/shield,Steady-state,N/A,"Planar HTS coil array (12 encircling + 324 shaping, 20 T, software-controlled)",high
06-magnetic-mirror,Magnetic Mirror (p-B11),Pale Blue Fusion,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,RF (ICRH),Direct (charged particle),Sustained,TBD,N/A,Minimal (aneutronic),Steady-state,N/A,"Centrifugal mirror with alpha channeling (RF waves, E×B rotation, ponderomotive barriers)",medium
07-maglif,MagLIF (D-T),"Pacific Fusion, Fuse Energy Technologies",MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Pulsed power implosion,Thermal (unspecified),Compressed,Pulsed EM,TBD,Integrated blanket/shield,Pulsed,Sub-Hz,Pulsed power (Z-machine class),medium-high
08-frc-w-direct-conversion,FRC w/ Direct Conversion,Helion Energy,MIF,N/A,N/A,FRC compression,N/A,N/A,N/A,N/A,D-He3,Magnetic compression,Direct (inductive),Transient,Pulsed EM,Self-bred (DD side),Reduced (D-He3),Pulsed,~1 Hz,Pulsed EM coils (capacitor bank),high
09-qi-stellarator-hts,QI Stellarator - HTS,Proxima Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),Thermal (unspecified),Burning,HTS (3D stellarator),LiPb blanket,Integrated blanket/shield,Steady-state,N/A,"3D HTS stellarator coils (REBCO, 20 T)",medium
10-large-scale-stellarator,Large-Scale Stellarator,Gauss Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),Thermal (unspecified),Burning,LTS+HTS,Li blanket (unspecified),Heavy shielding (14 MeV),Steady-state,N/A,"Non-planar modular SC coils (LTS+HTS, 40 coils, 6T axis / 12-13T peak, demountable)",medium
11-magnetic-mirror,Magnetic Mirror (D-T),Realta Fusion,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF + NBI,Hybrid (thermal + direct),Sustained,HTS (wound),Li blanket (unspecified),Integrated blanket/shield,Steady-state,N/A,"HTS mirror magnets (REBCO, 17+ T) + NBI + ECH",medium-high
12-levitated-dipole,Levitated Dipole (D-T),OpenStar Technologies,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF (ICRH),Thermal (unspecified),Sustained,HTS (levitated dipole),Solid ceramic breeder (HCPB),Integrated blanket/shield,Quasi-steady,N/A,"Levitated HTS dipole coil (REBCO, 23 T) with on-board flux pump",high
13-electrostatic-hybrid,Electrostatic Hybrid (D-T),Avalanche Energy,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,Thermal (unspecified),Non-burning,Electrostatic,TBD,Heavy shielding (14 MeV),Steady-state,N/A,High-voltage electrostatic cathode (300 kV) with E×B electron co-confinement,medium-low
14-magnetized-target-fusion-pneumatic-compression,Magnetized Target Fusion - Pneumatic Compression (D-T),General Fusion,MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Mechanical compression,Thermal (steam),Compressed,Self-confined,Liquid metal wall,Integrated blanket/shield,Pulsed,~1 Hz,Pneumatic pistons + liquid metal,high
15-sheared-flow-stabilized-z-pinch,Sheared-Flow Stabilized Z-Pinch,Zap Energy,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,Ohmic (self-pinch),Thermal (steam),Pinch,Self-confined,LiPb blanket,Integrated blanket/shield,Pulsed,~10 Hz,Pulsed power (sheared-flow Z-pinch),high
16-muon-catalyzed-fusion,Muon-Catalyzed Fusion (D-T),Acceleron Fusion,Non-Standard,N/A,N/A,N/A,Muon-catalyzed,N/A,N/A,N/A,D-T,Muon catalysis,Thermal (unspecified),N/A,N/A,TBD,Heavy shielding (14 MeV),Steady-state,N/A,Muon source (accelerator),medium
17a-laser-icf-hybrid-drive,Laser ICF - Hybrid Direct Drive (D-T),Xcimer Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Hybrid drive,D-T,Laser (direct drive),Thermal (unspecified),Compressed,N/A,FLiBe blanket,Integrated blanket/shield,Pulsed,Sub-Hz,"Excimer laser (KrF, 248 nm, 10+ MJ, ASPEN architecture)",medium-high
17b-laser-icf-fast-ignition,Laser ICF - Fast Ignition (D-T),Focused Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,D-T,Laser (fast ignition),Thermal (steam),Compressed,N/A,Li blanket (unspecified),Integrated blanket/shield,Pulsed,~10 Hz,"DPSSL (Nd:glass, 527 nm) + petawatt CPA ignition laser",medium
18-p-b11-frc,p-B11 FRC,TAE Technologies,MFE,Compact Toroid,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,NBI,Thermal (steam),Sustained,Resistive,N/A,Minimal (aneutronic),Steady-state,N/A,"Neutral beam injection (high-energy, tangential)",high
19-orbital-levitated-dipole,Orbital Levitated Dipole (D-He3),Zephyr Fusion,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-He3,RF (ECRH),Direct (charged particle),Sustained,HTS (levitated dipole),N/A,Reduced (D-He3),Steady-state,N/A,"Orbital HTS dipole coil (meter-scale, Falcon 9 deployable)",low
20a-type-one-stellarator,QI Modular HTS Stellarator - Infinity Two,Type One Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,RF (ECRH),Thermal (steam),Burning,HTS (3D stellarator),Solid ceramic breeder (HCPB),Integrated blanket/shield,Steady-state,N/A,"Modular HTS stellarator coils (REBCO, 9 T)",high
20b-renaissance-stellarator,Compact Liquid-Wall HTS Stellarator,Renaissance Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,NBI,Thermal (sCO2),Burning,HTS (3D stellarator),Liquid metal wall,Integrated blanket/shield,Steady-state,N/A,"Laser-patterned HTS film on cylinders (REBCO, 10-15 T)",high
21-spherical-tokamak-hts,Spherical Tokamak - HTS,Tokamak Energy,MFE,Tokamak,N/A,N/A,N/A,Spherical,N/A,N/A,D-T,RF (ECRH),Thermal (unspecified),Burning,HTS (wound),Liquid Li blanket,Integrated blanket/shield,Quasi-steady,N/A,"HTS magnets (REBCO, 5.25 T on-axis)",medium
22-projectile-icf,Projectile ICF (D-T),"First Light Fusion, NearStar Fusion",IFE,N/A,Projectile,N/A,N/A,N/A,N/A,N/A,D-T,Projectile impact,Thermal (steam),Compressed,N/A,Liquid Li blanket,Integrated blanket/shield,Pulsed,Sub-Hz,Electromagnetic gun,medium-high
23-laser-icf-nanostructured-target,Laser ICF - Nanostructured Target (p-B11),Marvel Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Ultrashort pulse,p-B11,Laser (ultrashort pulse),Hybrid (thermal + direct),Compressed,N/A,N/A,Minimal (aneutronic),Pulsed,~10 Hz,"Femtosecond DPSSL + nanostructured Si targets (nanowire arrays, semiconductor lithography)",medium-high
24-dense-plasma-focus,Dense Plasma Focus (p-B11),LPPFusion,Non-Standard,N/A,N/A,N/A,Plasma focus,N/A,N/A,N/A,p-B11,Electromagnetic pinch (DPF),Direct (charged particle),Pinch,Self-confined,N/A,Minimal (aneutronic),Pulsed,High (>10 Hz),"Pulsed coaxial electrodes (capacitor bank, 2.7 MA)",medium
25-heavy-ion-beam-icf,Heavy Ion Beam ICF (D-T),Intensity Energy,IFE,N/A,Heavy ion beam,N/A,N/A,N/A,N/A,N/A,D-T,Heavy ion beam,Thermal (steam),Compressed,N/A,Li blanket (unspecified),Integrated blanket/shield,Pulsed,~10 Hz,Linear induction accelerator,medium
26-laser-icf-indirect-drive,Laser ICF - Indirect Drive (D-T),Inertia Enterprises,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Indirect drive,D-T,Laser (indirect drive),Thermal (steam),Compressed,N/A,Liquid Li blanket,Integrated blanket/shield,Pulsed,~10 Hz,"DPSSL (Thunderwall, 10 kJ x 1000+ beamlines, 10 Hz, 3w UV)",medium-high
27-polywell,Polywell (D-T),EMC2,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,Thermal (unspecified),Confined,Resistive,TBD,Heavy shielding (14 MeV),Steady-state,N/A,Polyhedral magnetic cusp coils + electron beam injection,medium
28-hts-tokamak-full-hts,HTS Tokamak - Full HTS,Energy Singularity,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),Thermal (unspecified),Burning,HTS (wound),TBD,Heavy shielding (14 MeV),Steady-state,N/A,"HTS magnets (REBCO, 25 T)",medium
29-negative-triangularity-tokamak,Negative Triangularity Tokamak,Firefly Fusion,MFE,Tokamak,N/A,N/A,N/A,Negative triangularity,N/A,N/A,D-T,RF (ECRH),Thermal (unspecified),Burning,HTS (wound),TBD,Integrated blanket/shield,Quasi-steady,N/A,HTS magnets + NT plasma shaping,medium
