concept_id,design_name,maturity_tier,grounding_confidence,p_native_mwe,primary_sources,selection_rationale,alternatives_considered,trace_path,proposal_model,verified_by,verified_date
01-hts-compact-tokamak,"ARC V3A (CFS Virginia commercial plant, JPP 2026 special issue)",paper-concept,high,400,knowledge/concept_research/01-hts-compact-tokamak/iter-03/sources/arc-reactor-specifications.md; knowledge/concept_research/01-hts-compact-tokamak/iter-04/sources/arc-power-conversion-studies.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/arc-v3a-overview-hillesheim-jpp2026.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/arc-high-field-basis-creely-jpp2026.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/arc-performance-transport-howard-jpp2026.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/arc-disruption-sweeney-jpp2026.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/arc-exhaust-eich-jpp2026.md; knowledge/concept_research/01-hts-compact-tokamak/iter-05/sources/araiinejad-mit-thesis-2024.md,"ARC V3A is the canonical CFS commercial plant design and the basis for the Chesterfield County (Virginia) plant scheduled for early-2030s construction. As of the June 2026 JPP special issue (Hillesheim et al., Creely, Howard et al., Sweeney et al., Eich et al.), V3A has published engineering parameters — R0 = 4.62 m, B0 = 11.4 T, Ip = 12 MA, P_fus ~1.13 GW, P_e,net >= 400 MW, FLiBe blanket, vanadium structural, XPT divertor — and a documented disruption-mitigation strategy. ARAI (Araiinejad & Shirvan, MIT 2024) provides the techno-economic anchor (350 MWe scale, LCOE $140–$550/MWh). The Sorbom et al. 2015 ARC paper remains the historical/heritage reference for the conservative pilot phase. SPARC is excluded (no net electric output by design).","ARC 2015 Conservative Pilot phase (Sorbom et al., heritage reference); ARC 2015 FNSF phase (Sorbom et al., heritage reference); ARC 2015 Aggressive Pilot phase (Sorbom et al., heritage reference); SPARC (CFS, under construction, no net electric); ARAI (Araiinejad & Shirvan MIT 2024, 350 MWe techno-economic variant)",exploration/concept_analysis/analyses/01-hts-compact-tokamak/design-points/baseline.md,sonnet,,
03-laser-icf-liquid-jet-target,"Nano-Sun 1 MHz reactor scenario (Kharzeev, Levitt, Trallero-Herrero 2025, arXiv:2503.15531)",paper-concept,low,0.3,knowledge/concept_research/03-laser-icf-liquid-jet-target/iter-01/sources/arxiv-2503-nanoshell-paper.md; knowledge/concept_research/03-laser-icf-liquid-jet-target/iter-01/sources/cortex-fusion-website.md,"The nanoshell preprint (arXiv:2503.15531), co-authored by Cortex founder Jacob Levitt, is the only Cortex-attributed source with an implied electrical output. Its ""Released energy"" section projects P_fusion ~ 1 MW at f = 1 MHz and N_s-p = 10^6 nanoshells/pulse. With the paper'...","Modern Small Modular Hybrid Fusion-Fission Reactor (US patent application 63/792,117); D2O-Moderated Hybrid Fusion-Fission Reactor with Direct Brayton Cycle (US patent application 63/802,958); Levitt 2023 quantum-Zeno ¹⁶O(2p,γ)¹⁸Ne water fusion reactor (arXiv:2308.07417); kHz liquid-sheet neutron source demonstrator (Knight et al., HPLSE 2024)",exploration/concept_analysis/analyses/03-laser-icf-liquid-jet-target/design-points/baseline.md,sonnet,,
04-laser-icf,HB11 Energy 500 MWe technoeconomic model scenario (McKenzie et al. 2023),paper-concept,low,500,knowledge/concept_research/04-laser-icf/iter-03/sources/link-10-1007-s10894-023-00349-9/output.md; knowledge/concept_research/04-laser-icf/iter-01/sources/hb11-patent-reactor-design.md,"No named commercial plant design exists in HB11 Energy's published portfolio. The most specific electrical output figure traceable to a company source is the 500 MWe scenario used in McKenzie et al. 2023 (J. Fusion Energ. 42:17), HB11's formal peer-reviewed technoeconomic pape...","Patent reactor concept, single unit (US10410752B2, Hora 2018); HB11 website 1 GW baseload target (company communications 2021–2025)",exploration/concept_analysis/analyses/04-laser-icf/design-points/baseline.md,sonnet,,
05-planar-coil-stellarator,"Helios preconceptual design (Swanson et al. 2025, arXiv:2512.08027)",paper-concept,high,390,knowledge/concept_research/05-planar-coil-stellarator/iter-01/sources/thea-energy-helios-arxiv-2512-08027.md; knowledge/concept_research/05-planar-coil-stellarator/iter-02/sources/thea-energy-doe-certification-jan2026.md; knowledge/concept_research/05-planar-coil-stellarator/iter-01/sources/thea-energy-website-and-press.md,"Helios is Thea Energy's only published fusion power plant design and the only candidate with a documented P_native. Table 1 of arXiv:2512.08027 states 390 MWe net electric output, derived from a complete thermal cycle: 1,094 MW total thermal × ~40% gross efficiency = 438 MWe g...","Helios speculative 25 T variant (~1,000 MWe); Eos (D-D neutron source demonstrator)",exploration/concept_analysis/analyses/05-planar-coil-stellarator/design-points/baseline.md,sonnet,,
06-magnetic-mirror,"Pale Blue Fusion CHARM commercial notional plant (operator-authored, 150 MWe)",paper-concept,low,150,knowledge/concept_research/06-magnetic-mirror/iter-02/sources/arpa-e-2025-fisch-presentation-notes.md; knowledge/concept_research/06-magnetic-mirror/iter-01/sources/technical-papers-summary.md; knowledge/concept_research/06-magnetic-mirror/iter-01/sources/princeton-arpa-e-funding-2022.md,"No source-traceable P_native exists in any Pale Blue Fusion published material — not in the July 2025 ARPA-E presentation, not in the Princeton press release (Fisch: ""purely theoretical""), not in any of the seven Fisch-group technical papers. The LLM proposal step correctly ro...","(no published Pale Blue design with a P_native); CMFX (Centrifugal Mirror Fusion Experiment, University of Maryland); Notional P_native in 50–100 MWe range (small-module mirror analogue, Realta Hammir-like); Notional P_native in 300–500 MWe range (HB11-scale PB11 plant)",exploration/concept_analysis/analyses/06-magnetic-mirror/design-points/baseline.md,sonnet,,
07-maglif,"Z-IFE reference plant, 10-chamber 0.1 Hz baseline (Olson et al. 2006, SAND2006-7148)",paper-concept,medium,1000,knowledge/concept_research/07-maglif/iter-02/sources/z-ife-sand2006-7148-thermal-cycles.md; knowledge/concept_research/07-maglif/iter-01/sources/z-ife-power-plant-concept.md,"The Z-IFE reference plant (SAND2006-7148, Olson et al. 2006) is the only published systems-level cost model for a MagLIF/Z-pinch-class commercial power plant and is therefore the most mature design with the best published quantitative data. It documents chamber geometry (4 m r...","Pacific Fusion DS (Demonstration System); Pacific Fusion '~250 MWe' commercial scenario (LeChien, April 2025); Z-IFE optimized case, 1-chamber 0.5 Hz, frozen-FLiBe RTL (Olson et al. 2006); Z-IFE economy-of-scale case, 2-chamber 0.5 Hz, 2000 MWe (Olson et al. 2006); Fuse Energy Apeiron I (hybrid fusion-fission)",exploration/concept_analysis/analyses/07-maglif/design-points/baseline.md,sonnet,,
08-frc-w-direct-conversion,"Orion — Helion 8th-generation first commercial plant (50 MWe Microsoft PPA, 2028 target)",pilot-demonstrator,medium,50,knowledge/concept_research/08-frc-w-direct-conversion/iter-01/sources/docslib-helion-arpa-e-presentation.md; knowledge/concept_research/08-frc-w-direct-conversion/iter-02/sources/helion-prototype-generations.md; knowledge/concept_research/08-frc-w-direct-conversion/iter-01/sources/helion-website-technology.md,"Orion is Helion's only named first-commercial plant with a published electrical output: 50 MWe committed via a binding Microsoft power purchase agreement for 2028 grid delivery, confirmed across the company's press releases, Reuters, Wikipedia, and the Feb 2026 milestone annou...",Nucor 500 MWe commercial plant (2030 ambition); Polaris — 7th-generation prototype (D-T physics demonstrator),exploration/concept_analysis/analyses/08-frc-w-direct-conversion/design-points/baseline.md,sonnet,,
09-qi-stellarator-hts,"Stellaris commercial plant concept (Proxima Fusion, FED Vol. 214, 2025)",paper-concept,high,1000,knowledge/concept_research/09-qi-stellarator-hts/iter-01/sources/stellaris-design-details.md; knowledge/concept_research/09-qi-stellarator-hts/iter-02/sources/proxima-fusion-2026-updates.md; knowledge/concept_research/09-qi-stellarator-hts/iter-01/sources/proxima-fusion-technology-page.md,"Stellaris (Proxima Fusion, FED Vol. 214, May 2025) is the only design in Proxima's portfolio with a published net electrical output. Table 3 of the paper explicitly states ""Peak electric power ~1000 MW,"" which combined with the ~3300 MW peak thermal power and the dossier-confi...","Alpha demonstration stellarator (Q>1 demo, ~2031, Garching)",exploration/concept_analysis/analyses/09-qi-stellarator-hts/design-points/baseline.md,sonnet,,
10-large-scale-stellarator,"GIGA commercial fusion power plant (Gauss Fusion CDR, 2025)",proposed-commercial,medium,1000,knowledge/concept_research/10-large-scale-stellarator/iter-02/sources/gauss-fusion-cdr-review-2026.md; knowledge/concept_research/10-large-scale-stellarator/iter-02/sources/gauss-fusion-partnerships-2025.md; knowledge/concept_research/10-large-scale-stellarator/iter-01/sources/helias-reactor-context.md,"GIGA is the only company-led, CDR-complete commercial design in the large-scale HELIAS-lineage QI stellarator class. The CDR was submitted to the German government in October 2025 and reviewed by a 13-person international expert panel in early 2026, marking the formal transiti...","Helios preconceptual design (Thea Energy, Swanson et al. arXiv 2512.08027, Dec 2024); HSR4/18 academic HELIAS reactor (Beidler et al., IAEA proceedings); HSR5/22 academic HELIAS reactor (Beidler et al., IAEA proceedings); HELIAS 5-B EUROfusion academic concept (blanket studies phase)",exploration/concept_analysis/analyses/10-large-scale-stellarator/design-points/baseline.md,sonnet,,
11-magnetic-mirror,Hammir pilot plant — Frank et al. 2024 conservative operating point (Realta Fusion),paper-concept,medium,50,knowledge/concept_research/11-magnetic-mirror/iter-01/sources/arxiv-2411-06644-confinement-predictions.md; knowledge/concept_research/11-magnetic-mirror/iter-01/sources/aps-dpp-2025-sutherland.md,"The Hammir pilot plant is Realta Fusion's only published design point with a stated net electrical output. Frank et al. 2024 (arXiv 2411.06644) specifies a concrete operating point — B_m = 25 T, a_m = 0.15 m, ℓ_c = 50 m, P_NBI = 30 MW, ⟨n⟩_p = 1.5×10²⁰ m⁻³, β_c ≈ 0.6, T_i ≈ 45...","WHAM (Wisconsin HTS Axisymmetric Mirror, UW–Madison); Anvil (Realta simple-mirror end-plug demonstrator / DT neutron source); Hammir longer-center-cell variant (Q > 10, ~500 MW fusion scaling); Fowler, Moir & Simonen 2017 classical tandem mirror; Realta '100–200 MW initial deployment' note (Frank et al. acknowledgements)",exploration/concept_analysis/analyses/11-magnetic-mirror/design-points/baseline.md,sonnet,,
