Concept Name,Companies Pursuing,Confinement Approach,Description,Fuel Type,Operation Mode,Published Machine/Plant?,University / Lab Experiments
HTS Compact Tokamak (D-T),Commonwealth Fusion Systems,Magnetic Confinement,Compact high-field tokamak using HTS REBCO magnets (12+ T). Improved confinement scaling in smaller device footprint. Quasi-steady-state via bootstrap current and external drive.,D-T (Deuterium-Tritium),Continuous,No,"ITER, JET (Culham), EAST (ASIPP), JT-60SA (QST/F4E), KSTAR (KFE), DIII-D (GA), Alcator C-Mod (MIT)"
Acoustic ICF / Sonofusion (D-D),Sonofusion Energy,Other,Sound-driven implosion of gas bubbles in liquid to extreme temperatures. Single-bubble sonoluminescence creates picosecond UV flashes and dense plasma. Bridge from demonstrated sonoluminescence to thermonuclear conditions is undemonstrated.,D-T (Deuterium-Tritium),Continuous,No,"UCLA Putterman Group (sonoluminescence, 30+ years), Taleyarkhan/Purdue (discredited)"
Laser ICF - Liquid Jet Target (D-D),Cortex Fusion,Inertial Confinement,Ultrafast Yb:YAG thin-disk laser at kHz rep rate driving structured Laguerre-Gaussian beams into continuous liquid D2O jet. Claims D-D primary with D-T bootstrap burn. Eliminates discrete target fabrication.,D-D (Deuterium-Deuterium),Pulsed,No,None directly analogous. LG beam physics: Wang et al. 2015 (PIC simulation). Sonoluminescence jet compression has some overlap.
Laser ICF (p-B11),hb11,Inertial Confinement,,p-B11 (Proton-Boron-11),Pulsed,No,
Planar Coil Stellarator (D-T),Thea Energy,Magnetic Confinement,Stellarator using arrays of simple planar HTS coils instead of complex 3D-shaped windings. Simplifies manufacturing at the cost of requiring many more coils. Steady-state.,D-T (Deuterium-Tritium),Continuous,No,"Wendelstein 7-X (IPP), CNT (Columbia)"
Magnetic Mirror (p-B11),Pale Blue,Magnetic Confinement,,p-B11 (Proton-Boron-11),Continuous,No,
MagLIF (D-T),"Pacific Fusion, Europa Fusion",Magnetized Target Fusion,"Z-machine or pulsed power implodes metal liner around pre-magnetized, laser-preheated D-T fuel. Magneto-inertial fusion at intermediate density/timescale.",D-T (Deuterium-Tritium),Pulsed,No,"Sandia Z Machine (MagLIF experiments), NRL (magnetized ICF)"
FRC w/ Direct Conversion (D-He3),Helion Energy,Magnetized Target Fusion,Two FRC plasmoids collide and compress. Magnetic flux change in external coils enables direct electricity capture without thermal conversion. D-He3 fuel for near-aneutronic operation.,D-He3 (Deuterium-Helium-3),Pulsed,No,"FRX-L (LANL), TCS (UW), C-2W (TAE/UCI)"
QI Stellarator - HTS (D-T),Proxima Fusion,Magnetic Confinement,"Quasi-isodynamic optimized stellarator with HTS magnets. 3D twisted coils produce helical field externally. No plasma current, no disruptions. Inherently steady-state.",D-T (Deuterium-Tritium),Continuous,Yes,"Wendelstein 7-X (IPP Greifswald), LHD (NIFS Japan), HSX (UW-Madison)"
Large-Scale Stellarator (D-T),Gauss Fusion,Magnetic Confinement,"Large stellarator building on W7-X heritage. Conventional (non-planar) coil design at power-plant scale. Steady-state, disruption-free.",D-T (Deuterium-Tritium),Continuous,No,"Wendelstein 7-X (IPP Greifswald), LHD (NIFS Japan)"
Magnetic Mirror (D-T),Realta Fusion,Magnetic Confinement,Linear solenoid with magnetic mirror end plugs. Tandem mirror and gas-dynamic trap variants. Simple open geometry. Steady-state. End losses historically limiting but modern HTS and improved physics may resolve.,D-T (Deuterium-Tritium),Continuous,No,"WHAM (UW-Madison), GDT (Budker Institute), TMX (LLNL, ended), GAMMA-10 (Tsukuba)"
Levitated Dipole (D-T),OpenStar Technologies,Magnetic Confinement,"Single superconducting coil levitated inside vacuum vessel creates dipolar magnetic field. Plasma confined in external region. Inspired by planetary magnetospheres. Steady-state, inherently MHD stable.",D-T (Deuterium-Tritium),Continuous,No,"LDX (MIT/Columbia, ended), RT-1 (University of Tokyo)"
Electrostatic Hybrid (D-T),Avalanche Energy,Hybrid,Ions orbit high-voltage cathode without grid. ExB electron confinement. Desktop-scale form factor. Hybrid electrostatic/magnetic confinement concept.,D-T (Deuterium-Tritium),Pulsed,No,IEC/Fusor experiments (various universities)
