concept_id,baseline_blocking_count,baseline_important_count,baseline_overall_rating
01-hts-compact-tokamak,1,10,"Mostly Ready"
02-acoustic-icf-sonofusion,8,4,"Insufficient Data"
03-laser-icf-liquid-jet-target,7,5,"Insufficient Data"
04-laser-icf,4,7,"Significant Gaps"
05-planar-coil-stellarator,3,8,"Mostly Ready"
06-magnetic-mirror,13,3,"Significant Gaps"
07-maglif,3,0,"Mostly Ready"
08-frc-w-direct-conversion,7,4,"Mostly Ready"
09-qi-stellarator-hts,2,8,"Mostly Ready"
10-large-scale-stellarator,0,2,"Mostly Ready"
11-magnetic-mirror,4,7,"Significant Gaps"
12-levitated-dipole,4,8,"Mostly Ready"
13-electrostatic-hybrid,6,4,"Insufficient Data"
14-magnetized-target-fusion-pneumatic-compression,4,8,"Mostly Ready (with significant LCOE-specific gaps)"
15-sheared-flow-stabilized-z-pinch,5,7,"Mostly Ready"
16-muon-catalyzed-fusion,6,6,"Insufficient Data"
17a-laser-icf-hybrid-drive,4,8,"Mostly Ready (with important sourcing gaps for quantitative LCOE work)"
17b-laser-icf-fast-ignition,6,7,"Significant Gaps"
18-p-b11-frc,8,5,"Mostly Ready (with significant quantitative constraints)"
19-orbital-levitated-dipole,10,3,"Insufficient Data"
20a-type-one-stellarator,3,8,"Mostly Ready (with sourcing gap)"
20b-renaissance-stellarator,4,7,"Mostly Ready (with one critical extraction gap)"
21-spherical-tokamak-hts,3,8,"Mostly Ready"
22-projectile-icf,7,6,"Mostly Ready (with important caveats)"
23-laser-icf-nanostructured-target,7,4,"Significant Gaps"
24-dense-plasma-focus,6,5,"Insufficient Data"
25-heavy-ion-beam-icf,2,6,"Mostly Ready"
26-laser-icf-indirect-drive,2,7,"Mostly Ready"
27-polywell,7,4,"Significant Gaps"
28-hts-tokamak-full-hts,5,5,"Significant Gaps"
29-negative-triangularity-tokamak,1,7,"Mostly Ready"
30-laser-icf-nif-commercialization,5,6,"Significant Gaps"
31-laser-icf-oec-architecture,4,2,"Mostly Ready"
32-laser-icf-french-national,6,5,"Significant Gaps"
34-compact-spherical-tokamak-india,12,3,"Insufficient Data"
35-polomac-magnetic-confinement,9,4,"Insufficient Data"
36-helical-coil-stellarator,1,8,"Mostly Ready"
37-magnetized-target-inertial-fusion-mtif,6,3,"Insufficient Data"
38-particle-accelerator-driven-fusion,4,4,"Significant Gaps (for power-LCOE purposes)"
39-spherical-tokamak-cs-free-p-b11,8,3,"Significant Gaps"
33-state-backed-tokamak-best,4,6,"Mostly Ready (with important framing caveat)"
