ID,Research ID,Concept Name,Company,Confinement Family,MFE Topology,IFE Driver,MIF Method,Non-Standard Mechanism,Tokamak Shape,Stellarator Type,Laser Approach,Fuel,Primary Heating,Energy Capture,Magnet Type,Blanket Config,Operation Mode,Repetition Rate,Driver Technology,Overall Confidence
01-hts-compact-tokamak,1,HTS Compact Tokamak (D-T),Commonwealth Fusion Systems,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),Thermal (steam),HTS (wound),Molten salt,Quasi-steady,N/A,"HTS magnets (REBCO, 20 T)",high
02-acoustic-icf-sonofusion,2,Acoustic ICF / Sonofusion (D-D),Sonofusion Energy,IFE,N/A,Acoustic,N/A,N/A,N/A,N/A,N/A,D-D,Acoustic implosion,TBD,N/A,N/A,Pulsed,kHz,Ultrasonic transducers (acoustic cavitation),low
03-laser-icf-liquid-jet-target,3,Laser ICF - Liquid Jet Target (D-D),Cortex Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Liquid jet,D-D,Laser (ultrashort pulse),TBD,N/A,N/A,Pulsed,kHz,Femtosecond laser + plasmonic nanoshell targets,low
04-laser-icf,4,Laser ICF (p-B11),hb11,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,p-B11,Laser (fast ignition),Thermal (steam),N/A,N/A,Pulsed,~1 Hz,Petawatt ps CPA laser + laser-driven kT field,medium
05-planar-coil-stellarator,5,Planar Coil Stellarator (D-T),Thea Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Planar coil,N/A,D-T,RF (ECRH),Thermal (steam),HTS (planar array),Liquid metal,Steady-state,N/A,"Planar HTS coil array (12 encircling + 324 shaping, 20 T, software-controlled)",high
06-magnetic-mirror,6,Magnetic Mirror (p-B11),Pale Blue,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,RF (ICRH),Direct (charged particle),TBD,N/A,Steady-state,N/A,"Centrifugal mirror with alpha channeling (RF waves, E×B rotation, ponderomotive barriers)",medium
07-maglif,7,MagLIF (D-T),Pacific Fusion,MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Pulsed power implosion,Thermal (unspecified),None,TBD,Pulsed,Sub-Hz,Pulsed power (Z-machine class),medium-high
08-frc-w-direct-conversion,8,FRC w/ Direct Conversion (D-He3),Helion Energy,MIF,N/A,N/A,FRC compression,N/A,N/A,N/A,N/A,D-He3,Magnetic compression,Direct (inductive),Resistive,Other/hybrid,Pulsed,~1 Hz,Pulsed EM coils (capacitor bank),high
09-qi-stellarator-hts,9,QI Stellarator - HTS (D-T),Proxima Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),Thermal (unspecified),HTS (3D stellarator),Liquid metal,Steady-state,N/A,"3D HTS stellarator coils (REBCO, 20 T)",medium
10-large-scale-stellarator,10,Large-Scale Stellarator (D-T),Gauss Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),Thermal (unspecified),LTS+HTS,Liquid metal,Steady-state,N/A,"Non-planar modular SC coils (LTS+HTS, 40 coils, 6T axis / 12-13T peak, demountable)",medium
11-magnetic-mirror,11,Magnetic Mirror (D-T),Realta Fusion,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF + NBI,Hybrid (thermal + direct),HTS (wound),Liquid metal,Steady-state,N/A,"HTS mirror magnets (REBCO, 17+ T) + NBI + ECH",medium-high
12-levitated-dipole,12,Levitated Dipole (D-T),OpenStar Technologies,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF (ICRH),Thermal (unspecified),HTS (levitated dipole),Solid breeder,Quasi-steady,N/A,"Levitated HTS dipole coil (REBCO, 23 T) with on-board flux pump",high
13-electrostatic-hybrid,13,Electrostatic Hybrid (D-T),Avalanche Energy,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,Thermal (unspecified),Electrostatic,TBD,Steady-state,N/A,High-voltage electrostatic cathode (300 kV) with E×B electron co-confinement,medium-low
14-magnetized-target-fusion-pneumatic-compression,14,Magnetized Target Fusion - Pneumatic Compression (D-T),General Fusion,MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Mechanical compression,Thermal (steam),None,Liquid metal,Pulsed,~1 Hz,Pneumatic pistons + liquid metal,high
