iter,source_basename,side,notes
iter-01,xcimer-energy-approach,17a,Xcimer Energy company page on Hybrid Direct Drive
iter-01,focused-energy-technology,17b,Focused Energy company technology page
iter-02,xcimer-science-page,17a,Xcimer science page
iter-02,xec-20260224-commercialization-of-lfe-whtppr-shared-24-feb,17a,Xcimer Energy Corp whitepaper (XEC = Xcimer)
iter-02,focused-energy-callahan-interview,17b,Focused Energy CEO interview
iter-02,hylife-energy-conversion-notes,shared,HYLIFE chamber heritage — Xcimer leans; cited generally
iter-03,prnewswire-news-releases-focused-energy-and-amplitude-enter,17b,Focused Energy / Amplitude partnership announcement
iter-03,arpa-e-sites-default-files-migrated-a05-zuegel,shared,ARPA-E IFE workshop slides (Zuegel, general)
iter-03,digital-ark-67531-metadc626683,shared,HYLIFE-II first-wall (LLNL); shared IFE chamber background
iter-03,laserfocusworld-lasers-sources-article-14274951-can-high,shared,Laser tech survey article
iter-03,lasers-sites-lasers-files-2023-11-haefner-ilt-ife-workshop,shared,IFE workshop slides (Haefner)
iter-03,llnl-53961-llnl-releases-generalized-economics-model-fusion,shared,LLNL generalized economics model release
iter-03,opg-oe-abstract-cfm,shared,Optica abstract (empty body); shared by default
iter-03,optica-opn-home-articles-volume-34-june-2023-features,shared,Optica feature on laser physics
iter-03,osti-biblio-7021072,shared,HYLIFE-II molten-salt IFE final report (LLNL heritage)
iter-03,osti-servlets-purl-1438678,17b,Meier 2006 — Economic Systems Modeling for Laser IFE and Fast Ignition (FI-specific)
iter-03,osti-servlets-purl-15013230,shared,OSTI doc (empty body); shared by default
iter-03,osti-servlets-purl-2561299,shared,Status and prospects for IFE via lasers — broad survey
iter-03,osti-servlets-purl-6137961,shared,HYLIFE-II power conversion design and cost study
iter-03,osti-servlets-purl-622702,shared,OSTI doc (empty body); shared by default
iter-03,pmc-articles-pmc7658748,shared,Hawker — A simplified economic model for inertial fusion
iter-03,sciencedirect-science-article-pii-s0920379624001868,17a,HYLIFE-III nuclear analysis of XEC (Xcimer) concept
