concept_id,confinementconcept_enum,fuel_enum,fit_grade,fit_rationale,costingfe_commit
01-hts-compact-tokamak,TOKAMAK,DT,High,"Textbook DT tokamak; ARC's R~3.3m / B~9.2T geometry is exactly what the TOKAMAK enum is calibrated for. HTS magnet stack adds REBCO cost-per-kA-m as a known driver but does not change the cost-account structure.",4ca4d49
02-acoustic-icf-sonofusion,,DD,None,Acoustic-driven IFE has no analog in any ENUM; truly bespoke residual.,4ca4d49
03-laser-icf-liquid-jet-target,LASER_IFE,DD,Low,"Laser driver fits the ENUM workflow but the gold-nanoshell + femtosecond + liquid-jet target architecture has no parallel in the ENUM's chamber/target/optics defaults. Rank-2 split → Low: target architecture is a fundamental deviation in chamber and optics cost categories, not a tunable parameter.",4ca4d49
04-laser-icf,LASER_IFE,PB11,Low,"Laser driver fits but PB11 fuel breaks the ENUM's DT defaults (blanket/special-materials) and the per-shot consumable kT magnetic-field coil is unbudgeted hardware. Rank-2 split → Low: PB11 + consumable-coil are compounding structural deviations.",4ca4d49
05-planar-coil-stellarator,STELLARATOR,DT,High,Stellarator topology + DT — direct ENUM territory; planar-coil variant is a geometry parameter the ENUM accommodates.,4ca4d49
06-magnetic-mirror,MIRROR,PB11,Low,"Mirror geometry fits but PB11 aneutronic operation with rotation-sustained DEC compounds two ENUM deviations: PB11 breaks DT blanket defaults and rotation-DEC breaks the steady-state thermal power balance the ENUM assumes. Rank-2 split → Low.",4ca4d49
07-maglif,MAGLIF,DT,High,Dedicated MAGLIF ENUM covers the architecture; pulsed-power liner-compression layout is the calibration case.,4ca4d49
08-frc-w-direct-conversion,PULSED_FRC,DHE3,Low,"FRC topology fits but INDUCTIVE_DEC + DHE3 fuel + colliding-FRC compression are three compounding deviations from the ENUM's thermal/DT defaults. Rank-2 split → Low.",4ca4d49
09-qi-stellarator-hts,STELLARATOR,DT,High,Quasi-isodynamic stellarator + DT — clean ENUM territory; QI variant accommodated as a geometry parameter.,4ca4d49
10-large-scale-stellarator,STELLARATOR,DT,High,Direct stellarator + DT.,4ca4d49
11-magnetic-mirror,MIRROR,DT,High,Steady-state DT tandem mirror — what the MIRROR ENUM was built for.,4ca4d49
12-levitated-dipole,DIPOLE,DT,High,"Single levitated SC coil + stationary support coils + DT — the DIPOLE ENUM's calibration case.",4ca4d49
