ID,Research ID,Concept Name,Company,Confinement Family,MFE Topology,IFE Driver,MIF Method,Non-Standard Mechanism,Tokamak Shape,Stellarator Type,Laser Approach,Fuel,Primary Heating,Heating Type,Energy Capture,Magnet Type,Blanket Config,Operation Mode,Repetition Rate,Driver Technology,Driver Type,Overall Confidence
01-hts-compact-tokamak,01-hts-compact-tokamak,HTS Compact Tokamak (D-T),Commonwealth Fusion Systems,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),ICRH,Thermal (steam),HTS (wound),Molten salt,Quasi-steady,N/A,"HTS magnets (REBCO, 20 T)",Magnetic,high
02-acoustic-icf-sonofusion,02-acoustic-icf-sonofusion,Acoustic ICF / Sonofusion (D-D),Sonofusion Energy,IFE,N/A,Acoustic,N/A,N/A,N/A,N/A,N/A,D-D,Acoustic implosion,N/A (non-thermal),TBD,N/A,N/A,Pulsed,kHz,Ultrasonic transducers (acoustic cavitation),Other,low
03-laser-icf-liquid-jet-target,03-laser-icf-liquid-jet-target,Laser ICF - Liquid Jet Target (D-D),Cortex Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Liquid jet,D-D,Laser (ultrashort pulse),N/A (compression-driven),TBD,N/A,N/A,Pulsed,kHz,Femtosecond laser + plasmonic nanoshell targets,DPSSL Laser,low
04-laser-icf,04-laser-icf,Laser ICF (p-B11),hb11,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,p-B11,Laser (fast ignition),N/A (compression-driven),Thermal (steam),N/A,N/A,Pulsed,~1 Hz,Petawatt ps CPA laser + laser-driven kT field,DPSSL Laser,medium
05-planar-coil-stellarator,05-planar-coil-stellarator,Planar Coil Stellarator (D-T),Thea Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Planar coil,N/A,D-T,RF (ECRH),ECRH,Thermal (steam),HTS (planar array),Liquid metal,Steady-state,N/A,"Planar HTS coil array (12 encircling + 324 shaping, 20 T, software-controlled)",Magnetic,high
06-magnetic-mirror,06-magnetic-mirror,Magnetic Mirror (p-B11),Pale Blue,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,RF (ICRH),ICRH,Direct (charged particle),TBD,N/A,Steady-state,N/A,"Centrifugal mirror with alpha channeling (RF waves, E×B rotation, ponderomotive barriers)",Magnetic,medium
07-maglif,07-maglif,MagLIF (D-T),Pacific Fusion,MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Pulsed power implosion,N/A (compression-driven),Thermal (unspecified),None,TBD,Pulsed,Sub-Hz,Pulsed power (Z-machine class),Magnetic pinch,medium-high
08-frc-w-direct-conversion,08-frc-w-direct-conversion,FRC w/ Direct Conversion (D-He3),Helion Energy,MIF,N/A,N/A,FRC compression,N/A,N/A,N/A,N/A,D-He3,Magnetic compression,N/A (compression-driven),Direct (inductive),Resistive,Other/hybrid,Pulsed,~1 Hz,Pulsed EM coils (capacitor bank),Magnetic,high
09-qi-stellarator-hts,09-qi-stellarator-hts,QI Stellarator - HTS (D-T),Proxima Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),ECRH,Thermal (unspecified),HTS (3D stellarator),Liquid metal,Steady-state,N/A,"3D HTS stellarator coils (REBCO, 20 T)",Magnetic,medium
10-large-scale-stellarator,10-large-scale-stellarator,Large-Scale Stellarator (D-T),Gauss Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,QI,N/A,D-T,RF (ECRH),ECRH,Thermal (unspecified),LTS+HTS,Liquid metal,Steady-state,N/A,"Non-planar modular SC coils (LTS+HTS, 40 coils, 6T axis / 12-13T peak, demountable)",Magnetic,medium
11-magnetic-mirror,11-magnetic-mirror,Magnetic Mirror (D-T),Realta Fusion,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF + NBI,ICRH + NBI,Hybrid (thermal + direct),HTS (wound),Liquid metal,Steady-state,N/A,"HTS mirror magnets (REBCO, 17+ T) + NBI + ECH",Magnetic,medium-high
12-levitated-dipole,12-levitated-dipole,Levitated Dipole (D-T),OpenStar Technologies,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-T,RF (ICRH),ICRH,Thermal (unspecified),HTS (levitated dipole),Solid breeder,Quasi-steady,N/A,"Levitated HTS dipole coil (REBCO, 23 T) with on-board flux pump",Magnetic,high
13-electrostatic-hybrid,13-electrostatic-hybrid,Electrostatic Hybrid (D-T),Avalanche Energy,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,N/A (non-thermal),Thermal (unspecified),Electrostatic,TBD,Steady-state,N/A,High-voltage electrostatic cathode (300 kV) with E×B electron co-confinement,Electrostatic,medium-low
14-magnetized-target-fusion-pneumatic-compression,14-magnetized-target-fusion-pneumatic-compression,Magnetized Target Fusion - Pneumatic Compression (D-T),General Fusion,MIF,N/A,N/A,Magnetized target,N/A,N/A,N/A,N/A,D-T,Mechanical compression,N/A (compression-driven),Thermal (steam),None,Liquid metal,Pulsed,~1 Hz,Pneumatic pistons + liquid metal,Mechanical/kinetic,high
15-sheared-flow-stabilized-z-pinch,15-sheared-flow-stabilized-z-pinch,Sheared-Flow Stabilized Z-Pinch (D-T),Zap Energy,MFE,Open/Linear,N/A,N/A,N/A,N/A,N/A,N/A,D-T,Ohmic (self-pinch),Ohmic,Thermal (steam),None,Liquid metal,Pulsed,~10 Hz,Pulsed power (sheared-flow Z-pinch),Magnetic pinch,high
16-muon-catalyzed-fusion,16-muon-catalyzed-fusion,Muon-Catalyzed Fusion (D-T),Acceleron Fusion,Non-Standard,N/A,N/A,N/A,Muon-catalyzed,N/A,N/A,N/A,D-T,Muon catalysis,N/A (non-thermal),Thermal (unspecified),N/A,TBD,Steady-state,N/A,Muon source (accelerator),Other,medium
17a-laser-icf-hybrid-drive,17a-laser-icf-hybrid-drive,Laser ICF - Hybrid Direct Drive (D-T),Xcimer Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Hybrid drive,D-T,Laser (direct drive),N/A (compression-driven),Thermal (unspecified),N/A,Molten salt,Pulsed,Sub-Hz,"Excimer laser (KrF, 248 nm, 10+ MJ, ASPEN architecture)",Gas Laser,medium-high
17b-laser-icf-fast-ignition,17b-laser-icf-fast-ignition,Laser ICF - Direct Drive Fast Ignition (D-T),Focused Energy,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Fast ignition,D-T,Laser (fast ignition),N/A (compression-driven),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,"DPSSL (Nd:glass, 527 nm) + petawatt CPA ignition laser",DPSSL Laser,medium
18-p-b11-frc,18-p-b11-frc,p-B11 FRC (p-B11),TAE Technologies,MFE,Compact Toroid,N/A,N/A,N/A,N/A,N/A,N/A,p-B11,NBI,NBI,Thermal (steam),Resistive,N/A,Steady-state,N/A,"Neutral beam injection (high-energy, tangential)",Magnetic,high
19-orbital-levitated-dipole,19-orbital-levitated-dipole,Orbital Levitated Dipole (D-He3),Zephyr Fusion,MFE,Dipole,N/A,N/A,N/A,N/A,N/A,N/A,D-He3,RF (ECRH),ECRH,Direct (charged particle),HTS (levitated dipole),N/A,Steady-state,N/A,"Orbital HTS dipole coil (meter-scale, Falcon 9 deployable)",Magnetic,low
20a-type-one-stellarator,20a-type-one-stellarator,Type One Stellarator (D-T),Type One Energy,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,RF (ECRH),ECRH,Thermal (steam),HTS (3D stellarator),Solid breeder,Steady-state,N/A,"Modular HTS stellarator coils (REBCO, 9 T)",Magnetic,high
20b-renaissance-stellarator,20b-renaissance-stellarator,Renaissance Stellarator (D-T),Renaissance Fusion,MFE,Stellarator,N/A,N/A,N/A,N/A,Modular,N/A,D-T,NBI,NBI,Thermal (sCO2),HTS (3D stellarator),Other/hybrid,Steady-state,N/A,"Laser-patterned HTS film on cylinders (REBCO, 10-15 T)",Magnetic,high
21-spherical-tokamak-hts,21-spherical-tokamak-hts,Spherical Tokamak - HTS (D-T),Tokamak Energy,MFE,Tokamak,N/A,N/A,N/A,Spherical,N/A,N/A,D-T,RF (ECRH),ECRH,Thermal (unspecified),HTS (wound),Liquid metal,Quasi-steady,N/A,"HTS magnets (REBCO, 5.25 T on-axis)",Magnetic,medium
22-projectile-icf,22-projectile-icf,Projectile ICF (D-T),First Light Fusion,IFE,N/A,Projectile,N/A,N/A,N/A,N/A,N/A,D-T,Projectile impact,N/A (compression-driven),Thermal (steam),N/A,Liquid metal,Pulsed,Sub-Hz,Electromagnetic gun,Mechanical/kinetic,medium-high
23-laser-icf-nanostructured-target,23-laser-icf-nanostructured-target,Laser ICF - Nanostructured Target (p-B11),Marvel Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Ultrashort pulse,p-B11,Laser (ultrashort pulse),N/A (compression-driven),Hybrid (thermal + direct),N/A,N/A,Pulsed,~10 Hz,"Femtosecond DPSSL + nanostructured Si targets (nanowire arrays, semiconductor lithography)",DPSSL Laser,medium-high
24-dense-plasma-focus,24-dense-plasma-focus,Dense Plasma Focus (p-B11),LPPFusion,Non-Standard,N/A,N/A,N/A,Plasma focus,N/A,N/A,N/A,p-B11,Electromagnetic pinch (DPF),Ohmic,Direct (charged particle),None,N/A,Pulsed,High (>10 Hz),"Pulsed coaxial electrodes (capacitor bank, 2.7 MA)",Magnetic pinch,medium
25-heavy-ion-beam-icf,25-heavy-ion-beam-icf,Heavy Ion Beam ICF (D-T),Intensity Energy,IFE,N/A,Heavy ion beam,N/A,N/A,N/A,N/A,N/A,D-T,Heavy ion beam,N/A (compression-driven),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,Linear induction accelerator,Ion/particle beam,medium
26-laser-icf-indirect-drive,26-laser-icf-indirect-drive,Laser ICF - Indirect Drive (D-T),Inertia Enterprises,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Indirect drive,D-T,Laser (indirect drive),N/A (compression-driven),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,"DPSSL (Thunderwall, 10 kJ x 1000+ beamlines, 10 Hz, 3w UV)",DPSSL Laser,medium-high
27-polywell,27-polywell,Polywell (D-T),EMC2,Non-Standard,N/A,N/A,N/A,Electrostatic,N/A,N/A,N/A,D-T,Electrostatic acceleration,N/A (non-thermal),Thermal (unspecified),Resistive,TBD,Steady-state,N/A,Polyhedral magnetic cusp coils + electron beam injection,Electrostatic,medium
28-hts-tokamak-full-hts,28-hts-tokamak-full-hts,HTS Tokamak - Full HTS (D-T),Energy Singularity,MFE,Tokamak,N/A,N/A,N/A,Compact,N/A,N/A,D-T,RF (ICRH),ICRH,Thermal (unspecified),HTS (wound),TBD,Steady-state,N/A,"HTS magnets (REBCO, 25 T)",Magnetic,medium
29-negative-triangularity-tokamak,29-negative-triangularity-tokamak,Negative Triangularity Tokamak (D-T),Firefly Fusion,MFE,Tokamak,N/A,N/A,N/A,Negative triangularity,N/A,N/A,D-T,RF (ECRH),ECRH,Thermal (unspecified),HTS (wound),TBD,Quasi-steady,N/A,HTS magnets + NT plasma shaping,Magnetic,medium
30-laser-icf-nif-commercialization,30-laser-icf-nif-commercialization,Laser ICF - NIF Commercialization (D-T),Inertia Enterprises,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Indirect drive,D-T,Laser (indirect drive),N/A (compression-driven),Thermal (steam),N/A,Liquid metal,Pulsed,~10 Hz,"Diode-pumped solid-state laser (DPSSL, 10 MJ, ~1000 beamlines)",DPSSL Laser,medium-high
31-laser-icf-oec-architecture,31-laser-icf-oec-architecture,Laser ICF - OEC Architecture (D-T),Blue Laser Fusion,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Direct drive,D-T,Laser (direct drive),N/A (compression-driven),Hybrid (thermal + direct),N/A,Liquid metal,Pulsed,~10 Hz,"CBC fiber laser + OEC, 5 MJ UV",DPSSL Laser,medium-high
32-laser-icf-french-national,32-laser-icf-french-national,Laser ICF - French National (D-T),GenF Systems,IFE,N/A,Laser,N/A,N/A,N/A,N/A,Direct drive,D-T,Laser (direct drive),N/A (compression-driven),Thermal (unspecified),N/A,Liquid metal,Pulsed,~10 Hz,Diode-pumped solid-state laser (DPSSL),DPSSL Laser,medium
